Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Hyundai,Creta Ex 1.5,3,15000.0,Petrol,Manual (Regular),1.0,1108000.0,1087000,9.9,9.9,9.5,9.4,9.3
Ford,Ecosport Ambiente 1.5,13,117000.0,Diesel,Manual (Regular),1.0,388000.0,668700,9.4,8.9,8.0,7.7,8.7
Mahindra,Thar Lx Hard 4Wd,2,15000.0,Diesel,Manual (Regular),1.0,1540000.0,1660000,9.9,9.9,9.7,9.5,9.4
Kia,Sonet 1.5 Imt,3,28000.0,Diesel,Manual (Regular),1.0,989000.0,1195000,9.9,9.8,9.6,9.3,9.1
Maruti,Suzuki Grand Vitara Intelligent Hybrid Ecvt,2,24000.0,Hybrid,Automatic (Cvt),1.0,1655999.9999999998,1833000,9.9,9.7,9.7,9.1,8.9
Mahindra,Scorpio N Z8 L 7 Str,3,55000.0,Petrol,Automatic (Torque Convertor),1.0,1821000.0,2156000,9.8,9.6,9.4,9.1,8.1
Mg,Motors Hector Sharp Pro 2.0 6 Str,3,26000.0,Diesel,Manual (Regular),1.0,1855000.0,2242800,9.9,9.8,9.6,9.5,8.8
Hyundai,Alcazar Signature 6 Str 1.5,3,30000.0,Petrol,Automatic (Dct),1.0,1791000.0,2065000,9.9,9.7,9.4,9.1,8.6
Skoda,Kushaq Ambition 1.0L Tsi,5,112000.0,Petrol,Automatic (Torque Convertor),1.0,905000.0000000001,1419000,9.6,9.2,8.1,8.2,8.2
Mahindra,Xuv700 Ax 5 5 Str,5,95000.0,Petrol,Automatic (Torque Convertor),1.0,1352000.0,1719000,9.7,9.3,8.5,8.5,8.8
Renault,Kiger,4,89000.0,Petrol,Automatic (Amt),1.0,557000.0,800000,9.4,8.9,8.6,8.8,8.5
Mahindra,Xuv700 Ax 5 5 Str,3,54000.0,Diesel,Manual (Regular),1.0,1597000.0,1684800,9.8,9.6,9.2,9.1,8.7
Hyundai,Tucson Signature 2.0,4,19000.0,Petrol,Automatic (Torque Convertor),1.0,2451000.0,2856000,9.9,9.9,9.7,9.5,8.8
Tata,Punch Creative Dual Tone,4,16000.0,Petrol,Automatic (Amt),1.0,770000.0,954900,9.9,9.8,9.2,9.5,9.3
Mg,Motors Hector Super 1.5 Petrol*,7,45000.0,Petrol,Manual (Regular),1.0,1011000.0,1218000,9.8,9.5,9.2,8.6,8.5
Kia,Seltos 1.5 Dual Tone,4,58000.0,Diesel,Automatic (Torque Convertor),1.0,1459000.0,1845000,9.6,9.2,8.7,9.0,8.4
